Date,Building,Occupancy,Temperature_C,Electricity_kWh,Water_Liters,Waste_kg,Paper_kg
2026-01-01,Admin Block,244,25.7,378.2,8311.4,24.3,5.2
2026-01-01,Engineering Block,355,28.0,522.7,10940.5,53.3,11.1
2026-01-01,Computer Lab,405,32.6,636.6,12626.5,58.3,10.5
2026-01-01,Library,238,28.8,309.0,6507.4,35.5,5.8
2026-01-01,Canteen,271,27.9,452.1,9512.5,41.6,8.8
2026-01-01,Hostel,451,27.7,537.4,12166.0,57.5,12.2
2026-01-02,Admin Block,230,26.3,309.4,8052.9,36.1,7.4
2026-01-02,Engineering Block,327,29.7,534.7,11497.1,52.6,10.4
2026-01-02,Computer Lab,426,29.2,616.7,13700.3,50.6,11.2
2026-01-02,Library,191,27.0,298.6,7686.7,24.9,7.2
2026-01-02,Canteen,227,27.9,435.5,9436.0,41.9,9.2
2026-01-02,Hostel,364,27.5,598.4,12135.7,46.9,9.5
2026-01-03,Admin Block,96,30.6,214.1,4492.8,15.3,3.9
2026-01-03,Engineering Block,214,28.0,313.2,5985.7,26.0,5.1
2026-01-03,Computer Lab,179,30.6,322.4,7041.1,32.2,6.9
2026-01-03,Library,137,28.7,161.1,3801.2,9.0,1.6
2026-01-03,Canteen,111,25.8,250.7,4322.4,19.2,6.1
2026-01-03,Hostel,194,31.4,283.4,6578.5,24.5,5.6
2026-01-04,Admin Block,158,23.5,207.6,4508.5,16.1,2.0
2026-01-04,Engineering Block,195,27.3,300.7,6335.2,34.4,5.3
2026-01-04,Computer Lab,185,29.6,349.9,7946.5,34.0,6.8
2026-01-04,Library,165,25.2,139.1,3390.7,15.6,1.6
2026-01-04,Canteen,179,28.3,175.3,4590.9,24.0,5.5
2026-01-04,Hostel,277,38.3,368.2,6483.8,21.3,6.3
2026-01-05,Admin Block,205,27.7,323.9,7413.5,36.9,6.9
2026-01-05,Engineering Block,345,25.7,440.1,11128.9,48.9,12.2
2026-01-05,Computer Lab,407,32.1,591.4,12424.8,52.3,10.8
2026-01-05,Library,282,26.4,346.6,6583.1,35.2,6.5
2026-01-05,Canteen,280,28.9,402.2,9609.9,38.0,6.8
2026-01-05,Hostel,332,29.6,638.2,12204.0,51.3,11.2
2026-01-06,Admin Block,279,29.7,340.0,8594.1,35.9,8.6
2026-01-06,Engineering Block,357,25.1,451.8,12578.1,57.2,9.9
2026-01-06,Computer Lab,389,33.7,569.6,12523.4,59.1,11.2
2026-01-06,Library,207,28.5,331.4,7709.9,29.6,6.8
2026-01-06,Canteen,214,28.8,393.4,8197.8,34.4,7.8
2026-01-06,Hostel,409,24.8,552.4,12170.3,52.3,12.1
2026-01-07,Admin Block,252,33.3,364.1,7287.6,32.3,7.0
2026-01-07,Engineering Block,357,25.5,518.8,11653.3,60.8,12.4
2026-01-07,Computer Lab,373,28.1,534.0,12641.0,57.2,13.1
2026-01-07,Library,182,26.9,214.0,6564.3,23.8,5.4
2026-01-07,Canteen,255,28.7,351.9,8241.4,49.0,6.7
2026-01-07,Hostel,338,34.9,716.4,11368.5,50.3,11.3
2026-01-08,Admin Block,294,25.8,333.8,8455.3,36.3,6.3
2026-01-08,Engineering Block,346,24.6,502.3,11276.8,50.2,9.5
2026-01-08,Computer Lab,419,32.2,621.2,13483.6,57.2,11.6
2026-01-08,Library,182,30.0,317.1,8030.6,35.6,6.5
2026-01-08,Canteen,259,25.4,473.0,9385.8,41.6,6.2
2026-01-08,Hostel,409,30.5,520.3,12178.5,54.9,10.9
2026-01-09,Admin Block,223,28.7,343.6,7694.2,39.2,3.7
2026-01-09,Engineering Block,342,29.6,542.4,11188.3,41.1,10.5
2026-01-09,Computer Lab,463,24.1,627.9,13261.5,57.8,10.4
2026-01-09,Library,196,33.2,358.9,7866.0,34.2,6.5
2026-01-09,Canteen,347,30.4,474.2,9462.2,42.0,7.4
2026-01-09,Hostel,411,25.2,586.9,12371.1,59.0,11.8
2026-01-10,Admin Block,192,31.3,139.4,4480.5,14.4,3.1
2026-01-10,Engineering Block,245,31.0,271.7,5912.1,28.5,4.1
2026-01-10,Computer Lab,198,30.0,393.4,7523.7,20.2,6.8
2026-01-10,Library,116,30.3,258.5,2406.9,13.4,4.0
2026-01-10,Canteen,101,33.7,276.9,5411.3,18.1,5.5
2026-01-10,Hostel,244,29.7,330.0,7137.7,26.1,5.8
2026-01-11,Admin Block,123,30.2,251.3,3491.0,17.4,5.5
2026-01-11,Engineering Block,167,26.4,296.2,6729.9,26.5,7.2
2026-01-11,Computer Lab,251,31.7,372.3,8906.0,30.9,4.0
2026-01-11,Library,170,27.5,180.8,4869.2,10.2,1.8
2026-01-11,Canteen,101,26.5,254.9,5201.7,21.9,2.8
2026-01-11,Hostel,126,29.2,296.5,6670.6,30.2,6.1
2026-01-12,Admin Block,260,29.7,382.3,7322.0,32.7,7.0
2026-01-12,Engineering Block,379,27.7,545.9,11442.2,49.4,11.1
2026-01-12,Computer Lab,333,24.9,522.3,11308.1,51.8,12.5
2026-01-12,Library,198,29.6,369.1,7613.0,28.6,7.6
2026-01-12,Canteen,289,26.3,395.8,8402.7,36.2,7.8
2026-01-12,Hostel,405,34.5,522.1,12720.3,48.9,11.4
2026-01-13,Admin Block,229,23.1,383.8,7231.7,30.3,5.5
2026-01-13,Engineering Block,328,30.4,523.4,11573.6,50.3,11.7
2026-01-13,Computer Lab,391,24.3,637.0,12899.5,61.3,12.1
2026-01-13,Library,203,30.1,409.6,8125.0,29.4,6.2
2026-01-13,Canteen,323,26.3,437.5,9518.2,42.5,7.2
2026-01-13,Hostel,321,22.4,500.7,11746.9,50.2,13.2
2026-01-14,Admin Block,272,25.9,360.8,7575.4,32.5,7.0
2026-01-14,Engineering Block,372,27.9,571.0,10837.7,49.8,13.2
2026-01-14,Computer Lab,410,33.6,623.2,13587.5,56.5,11.4
2026-01-14,Library,180,30.4,284.6,7092.6,33.4,6.4
2026-01-14,Canteen,275,30.5,423.4,9903.1,31.6,7.8
2026-01-14,Hostel,307,24.2,612.4,12556.9,47.9,9.1
2026-01-15,Admin Block,130,27.3,459.0,7412.7,27.7,7.3
2026-01-15,Engineering Block,296,28.0,528.0,11144.0,51.5,10.5
2026-01-15,Computer Lab,426,26.8,635.7,14348.8,52.8,10.6
2026-01-15,Library,254,28.4,379.1,6742.4,36.9,6.2
2026-01-15,Canteen,295,34.0,433.2,8783.3,38.4,8.8
2026-01-15,Hostel,322,31.0,547.8,12796.1,40.8,9.9
2026-01-16,Admin Block,174,26.4,358.0,7233.5,30.2,6.6
2026-01-16,Engineering Block,358,25.8,547.6,11940.7,51.2,10.8
2026-01-16,Computer Lab,413,35.5,621.8,13025.4,53.4,10.4
2026-01-16,Library,164,26.2,305.0,6797.3,28.3,5.1
2026-01-16,Canteen,317,31.4,433.2,9080.6,43.4,8.5
2026-01-16,Hostel,326,28.8,576.1,11485.2,52.5,9.1
2026-01-17,Admin Block,175,33.0,204.7,4675.2,8.4,2.3
2026-01-17,Engineering Block,182,25.6,316.4,7554.2,21.5,4.6
2026-01-17,Computer Lab,229,34.2,301.1,7444.9,39.5,4.4
2026-01-17,Library,69,27.6,152.9,4041.2,16.0,1.2
2026-01-17,Canteen,175,27.2,295.0,4823.1,19.7,5.2
2026-01-17,Hostel,234,30.4,246.1,7261.7,25.1,6.3
2026-01-18,Admin Block,78,30.4,170.7,3120.3,20.0,4.0
2026-01-18,Engineering Block,171,33.6,292.4,6221.9,27.8,4.8
2026-01-18,Computer Lab,238,27.3,313.5,8213.7,26.8,3.5
2026-01-18,Library,170,37.2,191.7,2759.1,16.1,3.0
2026-01-18,Canteen,150,25.4,257.4,5446.9,15.2,5.4
2026-01-18,Hostel,279,29.6,304.0,7044.7,33.7,3.9
2026-01-19,Admin Block,239,27.8,435.0,7561.8,40.5,5.4
2026-01-19,Engineering Block,371,30.0,491.4,11690.3,55.2,9.7
2026-01-19,Computer Lab,343,28.9,562.0,12652.5,54.7,9.6
2026-01-19,Library,151,30.5,299.7,4847.9,31.3,6.3
